===============================================================================
Id,TSLA_data,len,datetime,open,high,low,close,volume,openinterest,GoldCross,len,datetime,Broker,len,cash,value,BuySell,len,buy,sell,Trades - Net Profit/Loss,len,pnlplus,pnlminus
6208,TSLA_data,6208,2021-06-01 10:55:00,624.0,624.09,623.5001,624.0194,46142.0,46142.0,GoldCross,6208,737942.4548611111,Broker,6208,10000.0,10000.0,BuySell,6208,,,Trades - Net Profit/Loss,6208,,
6209,TSLA_data,6209,2021-06-01 10:54:00,624.36,624.4,623.1185,623.94,86001.0,86001.0,GoldCross,6209,737942.4541666667,Broker,6209,10000.0,10000.0,BuySell,6209,,,Trades - Net Profit/Loss,6209,,
6210,TSLA_data,6210,2021-06-01 10:53:00,624.645,624.819,624.13,624.2,50254.0,50254.0,GoldCross,6210,737942.4534722222,Broker,6210,10000.0,10000.0,BuySell,6210,,,Trades - Net Profit/Loss,6210,,
6211,TSLA_data,6211,2021-06-01 10:52:00,624.435,624.74,623.8,624.74,80996.0,80996.0,GoldCross,6211,737942.4527777778,Broker,6211,10000.0,10000.0,BuySell,6211,,,Trades - Net Profit/Loss,6211,,
6212,TSLA_data,6212,2021-06-01 10:51:00,624.66,625.09,624.22,624.3209,61741.0,61741.0,GoldCross,6212,737942.4520833333,Broker,6212,10000.0,10000.0,BuySell,6212,,,Trades - Net Profit/Loss,6212,,
6213,TSLA_data,6213,2021-06-01 10:50:00,624.5,624.69,623.921,624.5786,72213.0,72213.0,GoldCross,6213,737942.4513888889,Broker,6213,10000.0,10000.0,BuySell,6213,,,Trades - Net Profit/Loss,6213,,
6214,TSLA_data,6214,2021-06-01 10:49:00,625.665,625.81,624.4,624.4101,90316.0,90316.0,GoldCross,6214,737942.4506944445,Broker,6214,10000.0,10000.0,BuySell,6214,,,Trades - Net Profit/Loss,6214,,
6215,TSLA_data,6215,2021-06-01 10:48:00,625.8,626.175,625.4,625.67,41720.0,41720.0,GoldCross,6215,737942.45,Broker,6215,10000.0,10000.0,BuySell,6215,,,Trades - Net Profit/Loss,6215,,
6216,TSLA_data,6216,2021-06-01 10:47:00,626.15,626.2599,625.08,625.855,47321.0,47321.0,GoldCross,6216,737942.4493055556,Broker,6216,10000.0,10000.0,BuySell,6216,,,Trades - Net Profit/Loss,6216,,
6217,TSLA_data,6217,2021-06-01 10:46:00,626.01,626.42,625.4,626.2824,37656.0,37656.0,GoldCross,6217,737942.4486111111,Broker,6217,10000.0,10000.0,BuySell,6217,,,Trades - Net Profit/Loss,6217,,
6218,TSLA_data,6218,2021-06-01 10:45:00,627.1438,627.2499,626.0305,626.0305,39449.0,39449.0,GoldCross,6218,737942.4479166666,Broker,6218,10000.0,10000.0,BuySell,6218,,,Trades - Net Profit/Loss,6218,,
6219,TSLA_data,6219,2021-06-01 10:44:00,626.58,627.3,626.36,627.17,59715.0,59715.0,GoldCross,6219,737942.4472222222,Broker,6219,10000.0,10000.0,BuySell,6219,,,Trades - Net Profit/Loss,6219,,
6220,TSLA_data,6220,2021-06-01 10:43:00,626.15,626.66,625.95,626.5971,23512.0,23512.0,GoldCross,6220,737942.4465277778,Broker,6220,10000.0,10000.0,BuySell,6220,,,Trades - Net Profit/Loss,6220,,
6221,TSLA_data,6221,2021-06-01 10:42:00,625.77,626.6394,625.685,626.275,39537.0,39537.0,GoldCross,6221,737942.4458333333,Broker,6221,10000.0,10000.0,BuySell,6221,,,Trades - Net Profit/Loss,6221,,
6222,TSLA_data,6222,2021-06-01 10:41:00,625.76,626.1965,625.53,625.9499,36238.0,36238.0,GoldCross,6222,737942.4451388889,Broker,6222,10000.0,10000.0,BuySell,6222,,,Trades - Net Profit/Loss,6222,,
6223,TSLA_data,6223,2021-06-01 10:40:00,626.04,626.04,625.38,625.7117,37773.0,37773.0,GoldCross,6223,737942.4444444445,Broker,6223,10000.0,10000.0,BuySell,6223,,,Trades - Net Profit/Loss,6223,,
